_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.1156926155090332, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529115365601101
"geometry_msgs.msg.Vector3(x=0.08039796352386475, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529115374043531
"geometry_msgs.msg.Vector3(x=0.04118167757987976, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529115378606281
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529115382162369
"geometry_msgs.msg.Vector3(x=0.0019653920084238053, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116054173657
"geometry_msgs.msg.Vector3(x=0.04118167757987976, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116057493566
"geometry_msgs.msg.Vector3(x=0.08235877752304077, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116062181413
"geometry_msgs.msg.Vector3(x=0.12549668550491333, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116065629719
"geometry_msgs.msg.Vector3(x=0.15883053541183473, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116073573175
"geometry_msgs.msg.Vector3(x=0.2, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529116078195428
"geometry_msgs.msg.Vector3(x=0.17647786140441896, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117153743748
"geometry_msgs.msg.Vector3(x=0.1470656394958496, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117158069532
"geometry_msgs.msg.Vector3(x=0.11961424350738525, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117161685604
"geometry_msgs.msg.Vector3(x=0.08039796352386475, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117166211915
"geometry_msgs.msg.Vector3(x=0.03333841860294342, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117174356102
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117177308711
"geometry_msgs.msg.Vector3(x=0.009808649122714997, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117713661672
"geometry_msgs.msg.Vector3(x=0.04314249157905579, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117717058221
"geometry_msgs.msg.Vector3(x=0.06863307356834412, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117721437982
"geometry_msgs.msg.Vector3(x=0.11177098751068115, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117725800586
"geometry_msgs.msg.Vector3(x=0.14510482549667358, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117733449598
"geometry_msgs.msg.Vector3(x=0.19020355939865113, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117737887881
"geometry_msgs.msg.Vector3(x=0.2, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529117741128250
"geometry_msgs.msg.Vector3(x=0.16079134941101075, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529118818111337
"geometry_msgs.msg.Vector3(x=0.1313791275024414, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529118821425660
"geometry_msgs.msg.Vector3(x=0.08628040552139282, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529118826125375
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529118834006403
"geometry_msgs.msg.Vector3(x=0.0039262063801288605, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119382222888
"geometry_msgs.msg.Vector3(x=0.03922086358070374, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119386074222
"geometry_msgs.msg.Vector3(x=0.06471144556999207, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119394352892
"geometry_msgs.msg.Vector3(x=0.10588854551315308, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119397643544
"geometry_msgs.msg.Vector3(x=0.14118319749832153, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529119401231210
