_header,_axes,_buttons,timestamp
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529112, nanosec=221625463), frame_id='joy')","array('f', [-0.0, 0.6666997075080872, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529112221816152
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529112, nanosec=225984555), frame_id='joy')","array('f', [-0.0, 0.7745445370674133, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529112226128294
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529112, nanosec=233646708), frame_id='joy')","array('f', [-0.0, 0.980430006980896, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529112233816180
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529112, nanosec=237980171), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529112238146288
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=457395074), frame_id='joy')","array('f', [-0.0, 0.8431730270385742, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113457832268
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=462082936), frame_id='joy')","array('f', [-0.0, 0.7255241274833679, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113462444747
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=465628416), frame_id='joy')","array('f', [-0.0, 0.578463077545166, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113465919031
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=473743837), frame_id='joy')","array('f', [-0.0, 0.3921857476234436, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113474021261
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=477217197), frame_id='joy')","array('f', [-0.0, 0.13727988302707672, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113477495391
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529113, nanosec=481909402), frame_id='joy')","array('f', [-0.0, -0.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529113482167094
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=185827962), frame_id='joy')","array('f', [-0.0, 0.13727988302707672, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114186049313
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=193484066), frame_id='joy')","array('f', [-0.0, 0.26473280787467957, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114193660627
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=197819704), frame_id='joy')","array('f', [-0.0, 0.44120609760284424, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114197971038
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=201100215), frame_id='joy')","array('f', [-0.0, 0.578463077545166, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114201240922
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=205476211), frame_id='joy')","array('f', [-0.0, 0.7157200574874878, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114205644653
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529114, nanosec=213058858), frame_id='joy')","array('f', [-0.0, 0.823564887046814, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529114213217533
